(HA,2012,46,114.66)
(HA,2012,47,115.5)
(HA,2013,8,120.38)
(HA,2013,24,120.07)
(HA,2013,9,121.29)
(HA,2012,48,114.8)
(HA,2013,25,119.69)
(HA,2013,26,120.4)
(HA,2012,49,117.62)
(HA,2013,27,119.54)
(HA,2013,28,119.29)
(HA,2007,50,115.07)
(HA,2013,29,118.61)
(HA,2007,51,113.59)
(HA,2007,52,113.73)
(HA,2008,30,116.18)
(HA,2008,31,115.44)
(HA,2008,32,115.12)
(HA,2009,10,101.64)
(HA,2008,33,115.07)
(HA,2008,34,116.94)
(HA,2009,11,101.75)
(HA,2009,12,101.54)
(HA,2008,35,115.11)
(HA,2008,36,115.44)
(HA,2009,13,102.72)
(HA,2008,37,113.58)
(HA,2009,14,102.7)
(HA,2009,15,101.48)
(HA,2008,38,115.57)
(HA,2009,16,102.91)
(HA,2009,1,101.64)
(HA,2008,39,112.78)
(HA,2009,17,104.58)
(HA,2009,2,101.2)
(HA,2009,18,102.9)
(HA,2009,3,100.8)
(HA,2009,19,102.68)
(HA,2009,4,102.12)
(HA,2004,10,101.6)
(HA,2009,5,100.8)
(HA,2004,11,100.49)
(HA,2009,6,101.1)
(HA,2004,12,98.94)
(HA,2004,13,102.34)
(HA,2009,7,101.38)
(HA,2004,14,100.27)
(HA,2009,8,100.88)
(HA,2012,50,117.24)
(HA,2004,15,101.5)
(HA,2009,9,99.96)
(HA,2004,16,99.76)
(HA,2012,51,117.74)
(HA,2004,17,101.01)
(HA,2012,52,116.96)
(HA,2004,18,101.99)
(HA,2013,30,119.36)
(HA,2013,31,119)
(HA,2004,19,100.6)
(HA,2013,32,119.11)
(HA,2014,10,122.8)
(HA,2013,33,119.14)
(HA,2014,11,122.84)
(HA,2013,34,121.44)
(HA,2014,12,123.04)
(HA,2013,35,121.44)
(HA,2013,36,120.82)
(HA,2014,13,125.09)
(HA,2012,1,114.64)
(HA,2014,14,124.25)
(HA,2013,37,120.2)
(HA,2013,38,119.51)
(HA,2014,15,123.21)
(HA,2012,2,113.59)
(HA,2012,3,114.8)
(HA,2014,16,123.12)
(HA,2013,39,119.32)
(HA,2014,17,124.27)
(HA,2012,4,115.88)
(HA,2014,18,124.47)
(HA,2008,40,113.86)
(HA,2012,5,113.95)
(HA,2012,6,114.66)
(HA,2014,19,124.2)
(HA,2008,41,115.07)
(HA,2008,42,115.47)
(HA,2012,7,113.22)
(HA,2009,20,102.35)
(HA,2012,8,114.92)
(HA,2008,43,111.74)
(HA,2008,44,115.07)
(HA,2009,21,102.54)
(HA,2012,9,113.96)
(HA,2008,45,113.49)
(HA,2009,22,102.21)
(HA,2009,23,101.75)
(HA,2008,46,114.24)
(HA,2009,24,103.35)
(HA,2008,47,115.5)
(HA,2009,25,102.06)
(HA,2008,48,112.84)
(HA,2009,26,103.36)
(HA,2008,49,116.62)
(HA,2009,27,103.38)
(HA,2009,28,104.85)
(HA,2009,29,102.59)
(HA,2004,20,101.26)
(HA,2003,44,97.31)
(HA,2004,21,102)
(HA,2003,45,95.88)
(HA,2004,22,99.2)
(HA,2004,23,100.72)
(HA,2003,46,95.46)
(HA,2003,47,95.15)
(HA,2004,24,100.27)
(HA,2004,25,99.28)
(HA,2003,48,97.31)
(HA,2004,26,100.64)
(HA,2003,49,97.96)
(HA,2008,1,116.76)
(HA,2004,27,99.24)
(HA,2008,2,115.81)
(HA,2013,40,120.96)
(HA,2004,28,98.92)
(HA,2004,29,99.4)
(HA,2013,41,120.61)
(HA,2008,3,116.55)
(HA,2008,4,116.4)
(HA,2013,42,119.97)
(HA,2013,43,119.52)
(HA,2014,20,123.94)
(HA,2008,5,117.25)
(HA,2014,21,125.8)
(HA,2008,6,117.66)
(HA,2013,44,119.68)
(HA,2013,45,119.64)
(HA,2014,22,124)
(HA,2008,7,114.92)
(HA,2014,23,123.74)
(HA,2013,46,121.71)
(HA,2008,8,115.53)
(HA,2013,47,119.14)
